moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
europa,2460407.143957139,A.D. 2024-04-06 15:27:17.90 TDB,2460407.245231607,A.D. 2024-04-06 17:53:08.01 TDB,145.8352,2460407.194594373,5.83842666,48.556714,0.0086,0.0086
europa,2460410.698355632,A.D. 2024-04-10 04:45:37.93 TDB,2460410.799635944,A.D. 2024-04-10 07:11:28.55 TDB,145.8436,2460410.748995788,5.86781730,48.801148,0.0086,0.0086
europa,2460414.252571131,A.D. 2024-04-13 18:03:42.15 TDB,2460414.353911596,A.D. 2024-04-13 20:29:37.96 TDB,145.9303,2460414.303241364,5.89488255,49.026243,0.0086,0.0086
europa,2460417.806791372,A.D. 2024-04-17 07:21:46.77 TDB,2460417.908157375,A.D. 2024-04-17 09:47:44.80 TDB,145.9670,2460417.857474373,5.91958704,49.231704,0.0086,0.0086
europa,2460421.361078687,A.D. 2024-04-20 20:39:57.20 TDB,2460421.462524711,A.D. 2024-04-20 23:06:02.14 TDB,146.0823,2460421.411801699,5.94190736,49.417337,0.0086,0.0086
europa,2460424.915412822,A.D. 2024-04-24 09:58:11.67 TDB,2460425.016875906,A.D. 2024-04-24 12:24:18.08 TDB,146.1068,2460424.966144364,5.96182467,49.582984,0.0086,0.0086
europa,2460428.469609333,A.D. 2024-04-27 23:16:14.25 TDB,2460428.571132571,A.D. 2024-04-28 01:42:25.85 TDB,146.1935,2460428.520370952,5.97931717,49.728465,0.0086,0.0086
europa,2460432.023674387,A.D. 2024-05-01 12:34:05.47 TDB,2460432.125214379,A.D. 2024-05-01 15:00:18.52 TDB,146.2176,2460432.074444383,5.99436039,49.853575,0.0086,0.0086
europa,2460435.577779537,A.D. 2024-05-05 01:52:00.15 TDB,2460435.679404673,A.D. 2024-05-05 04:18:20.56 TDB,146.3402,2460435.628592105,6.00692426,49.958066,0.0086,0.0086
europa,2460439.131945777,A.D. 2024-05-08 15:10:00.12 TDB,2460439.233600249,A.D. 2024-05-08 17:36:23.06 TDB,146.3824,2460439.182773013,6.01698000,50.041697,0.0086,0.0086
europa,2460442.686145337,A.D. 2024-05-12 04:28:02.96 TDB,2460442.787870483,A.D. 2024-05-12 06:54:32.01 TDB,146.4842,2460442.737007910,6.02451061,50.104327,0.0086,0.0086
