moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
io,2459550.092049270,A.D. 2021-12-01 14:12:33.06 TDB,2459550.186974358,A.D. 2021-12-01 16:29:14.58 TDB,136.6921,2459550.139511814,5.15066776,42.836798,0.0086,0.0086
io,2459551.861979634,A.D. 2021-12-03 08:41:15.04 TDB,2459551.956907948,A.D. 2021-12-03 10:57:56.85 TDB,136.6968,2459551.909443791,5.17740696,43.059181,0.0086,0.0086
io,2459553.632001687,A.D. 2021-12-05 03:10:04.95 TDB,2459553.726937984,A.D. 2021-12-05 05:26:47.44 TDB,136.7083,2459553.679469835,5.20394853,43.279920,0.0086,0.0086
io,2459555.401958080,A.D. 2021-12-06 21:38:49.18 TDB,2459555.496880279,A.D. 2021-12-06 23:55:30.46 TDB,136.6880,2459555.449419180,5.23026965,43.498826,0.0086,0.0086
io,2459557.171805309,A.D. 2021-12-08 16:07:23.98 TDB,2459557.266728397,A.D. 2021-12-08 18:24:05.33 TDB,136.6892,2459557.219266853,5.25634791,43.715713,0.0086,0.0086
io,2459558.941648636,A.D. 2021-12-10 10:35:58.44 TDB,2459559.036573763,A.D. 2021-12-10 12:52:39.97 TDB,136.6922,2459558.989111200,5.28216623,43.930437,0.0086,0.0086
io,2459560.711593649,A.D. 2021-12-12 05:04:41.69 TDB,2459560.806528280,A.D. 2021-12-12 07:21:24.04 TDB,136.7059,2459560.759060965,5.30771017,44.142879,0.0086,0.0086
io,2459562.481518943,A.D. 2021-12-13 23:33:23.24 TDB,2459562.576443576,A.D. 2021-12-14 01:50:04.72 TDB,136.6915,2459562.528981260,5.33296295,44.352900,0.0086,0.0086
io,2459564.251392593,A.D. 2021-12-15 18:02:00.32 TDB,2459564.346320852,A.D. 2021-12-15 20:18:42.12 TDB,136.6967,2459564.298856722,5.35790754,44.560358,0.0086,0.0086
io,2459566.021304127,A.D. 2021-12-17 12:30:40.68 TDB,2459566.116236421,A.D. 2021-12-17 14:47:22.83 TDB,136.7025,2459566.068770275,5.38253058,44.765142,0.0086,0.0086
io,2459567.791343835,A.D. 2021-12-19 06:59:32.11 TDB,2459567.886285270,A.D. 2021-12-19 09:16:15.05 TDB,136.7157,2459567.838814552,5.40682035,44.967154,0.0086,0.0086
io,2459569.561354505,A.D. 2021-12-21 01:28:21.03 TDB,2459569.656283959,A.D. 2021-12-21 03:45:02.93 TDB,136.6984,2459569.608819232,5.43076177,45.166268,0.0086,0.0086
io,2459571.331266575,A.D. 2021-12-22 19:57:01.43 TDB,2459571.426194458,A.D. 2021-12-22 22:13:43.20 TDB,136.6962,2459571.378730517,5.45433858,45.362351,0.0086,0.0086
io,2459573.101147742,A.D. 2021-12-24 14:25:39.16 TDB,2459573.196075486,A.D. 2021-12-24 16:42:20.92 TDB,136.6960,2459573.148611614,5.47753747,45.555290,0.0086,0.0086
io,2459574.871113671,A.D. 2021-12-26 08:54:24.22 TDB,2459574.966048233,A.D. 2021-12-26 11:11:06.57 TDB,136.7058,2459574.918580952,5.50034699,45.744991,0.0086,0.0086
io,2459576.641044441,A.D. 2021-12-28 03:23:06.24 TDB,2459576.735967823,A.D. 2021-12-28 05:39:47.62 TDB,136.6897,2459576.688506132,5.52275243,45.931331,0.0086,0.0086
io,2459578.410903576,A.D. 2021-12-29 21:51:42.07 TDB,2459578.505826827,A.D. 2021-12-30 00:08:23.44 TDB,136.6895,2459578.458365201,5.54473742,46.114175,0.0086,0.0086
io,2459580.180774788,A.D. 2021-12-31 16:20:18.94 TDB,2459580.275701407,A.D. 2021-12-31 18:37:00.60 TDB,136.6943,2459580.228238097,5.56628782,46.293404,0.0086,0.0086
io,2459581.950789358,A.D. 2022-01-02 10:49:08.20 TDB,2459582.045725763,A.D. 2022-01-02 13:05:50.71 TDB,136.7084,2459581.998257561,5.58739131,46.468917,0.0086,0.0086
io,2459583.720813666,A.D. 2022-01-04 05:17:58.30 TDB,2459583.815740269,A.D. 2022-01-04 07:34:39.96 TDB,136.6943,2459583.768276968,5.60803298,46.640588,0.0086,0.0086
io,2459585.490770999,A.D. 2022-01-05 23:46:42.61 TDB,2459585.585694464,A.D. 2022-01-06 02:03:24.00 TDB,136.6898,2459585.538232732,5.62819729,46.808290,0.0086,0.0086
io,2459587.260696997,A.D. 2022-01-07 18:15:24.22 TDB,2459587.355619704,A.D. 2022-01-07 20:32:05.54 TDB,136.6887,2459587.308158351,5.64787233,46.971922,0.0086,0.0086
io,2459589.030710295,A.D. 2022-01-09 12:44:13.37 TDB,2459589.125638295,A.D. 2022-01-09 15:00:55.15 TDB,136.6963,2459589.078174295,5.66704981,47.131416,0.0086,0.0086
io,2459590.800684350,A.D. 2022-01-11 07:12:59.13 TDB,2459590.895599793,A.D. 2022-01-11 09:29:39.82 TDB,136.6782,2459590.848142071,5.68571998,47.286691,0.0086,0.0086
io,2459592.570563477,A.D. 2022-01-13 01:41:36.68 TDB,2459592.665473400,A.D. 2022-01-13 03:58:16.90 TDB,136.6703,2459592.618018438,5.70387207,47.437658,0.0086,0.0086
io,2459594.340410898,A.D. 2022-01-14 20:10:11.50 TDB,2459594.435321029,A.D. 2022-01-14 22:26:51.74 TDB,136.6706,2459594.387865964,5.72149788,47.584247,0.0086,0.0086
io,2459596.110388218,A.D. 2022-01-16 14:38:57.54 TDB,2459596.205306931,A.D. 2022-01-16 16:55:38.52 TDB,136.6829,2459596.157847574,5.73859208,47.726415,0.0086,0.0086
io,2459597.880390667,A.D. 2022-01-18 09:07:45.75 TDB,2459597.975300972,A.D. 2022-01-18 11:24:26.00 TDB,136.6708,2459597.927845820,5.75514746,47.864102,0.0086,0.0086
io,2459599.650350034,A.D. 2022-01-20 03:36:30.24 TDB,2459599.745255469,A.D. 2022-01-20 05:53:10.07 TDB,136.6638,2459599.697802751,5.77115484,47.997231,0.0086,0.0086
io,2459601.420290023,A.D. 2022-01-21 22:05:13.06 TDB,2459601.515194370,A.D. 2022-01-22 00:21:52.79 TDB,136.6623,2459601.467742196,5.78660631,48.125737,0.0086,0.0086
io,2459603.190342259,A.D. 2022-01-23 16:34:05.57 TDB,2459603.285251933,A.D. 2022-01-23 18:50:45.77 TDB,136.6699,2459603.237797096,5.80149609,48.249572,0.0086,0.0086
io,2459604.960377038,A.D. 2022-01-25 11:02:56.58 TDB,2459605.055274373,A.D. 2022-01-25 13:19:35.71 TDB,136.6522,2459605.007825706,5.81581620,48.368668,0.0086,0.0086
