moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
ganymede,2457604.036949349,A.D. 2016-08-03 12:53:12.42 TDB,2457604.164900629,A.D. 2016-08-03 15:57:27.41 TDB,184.2498,2457604.100924989,6.17984870,51.396234,0.0086,0.0086
ganymede,2457611.202837414,A.D. 2016-08-10 16:52:05.15 TDB,2457611.330206606,A.D. 2016-08-10 19:55:29.85 TDB,183.4116,2457611.266522010,6.24880226,51.969704,0.0086,0.0086
ganymede,2457618.368611364,A.D. 2016-08-17 20:50:48.02 TDB,2457618.495371422,A.D. 2016-08-17 23:53:20.09 TDB,182.5345,2457618.431991393,6.30882160,52.468869,0.0086,0.0086
ganymede,2457625.534142815,A.D. 2016-08-25 00:49:09.94 TDB,2457625.660322022,A.D. 2016-08-25 03:50:51.82 TDB,181.6981,2457625.597232419,6.35948307,52.890208,0.0086,0.0086
ganymede,2457632.699376781,A.D. 2016-09-01 04:47:06.15 TDB,2457632.824937277,A.D. 2016-09-01 07:47:54.58 TDB,180.8071,2457632.762157029,6.40032686,53.229895,0.0086,0.0086
ganymede,2457639.864589727,A.D. 2016-09-08 08:45:00.55 TDB,2457639.989582420,A.D. 2016-09-08 11:44:59.92 TDB,179.9895,2457639.927086074,6.43089436,53.484117,0.0086,0.0086
ganymede,2457647.030161686,A.D. 2016-09-15 12:43:25.97 TDB,2457647.154545296,A.D. 2016-09-15 15:42:32.71 TDB,179.1124,2457647.092353491,6.45092900,53.650741,0.0086,0.0086
ganymede,2457654.195943684,A.D. 2016-09-22 16:42:09.53 TDB,2457654.319744607,A.D. 2016-09-22 19:40:25.93 TDB,178.2733,2457654.257844145,6.46029722,53.728654,0.0086,0.0086
ganymede,2457661.361747456,A.D. 2016-09-29 20:40:54.98 TDB,2457661.484941349,A.D. 2016-09-29 23:38:18.93 TDB,177.3992,2457661.423344403,6.45881495,53.716326,0.0086,0.0086
ganymede,2457668.527425356,A.D. 2016-10-07 00:39:29.55 TDB,2457668.649986723,A.D. 2016-10-07 03:35:58.85 TDB,176.4884,2457668.588706040,6.44634663,53.612630,0.0086,0.0086
ganymede,2457675.692866697,A.D. 2016-10-14 04:37:43.68 TDB,2457675.814827092,A.D. 2016-10-14 07:33:21.06 TDB,175.6230,2457675.753846894,6.42296637,53.418182,0.0086,0.0086
ganymede,2457682.858034585,A.D. 2016-10-21 08:35:34.19 TDB,2457682.979354558,A.D. 2016-10-21 11:30:16.23 TDB,174.7008,2457682.918694572,6.38887798,53.134678,0.0086,0.0086
ganymede,2457690.023201029,A.D. 2016-10-28 12:33:24.57 TDB,2457690.143932115,A.D. 2016-10-28 15:27:15.73 TDB,173.8528,2457690.083566572,6.34422333,52.763296,0.0086,0.0086
ganymede,2457697.188745254,A.D. 2016-11-04 16:31:47.59 TDB,2457697.308844213,A.D. 2016-11-04 19:24:44.14 TDB,172.9425,2457697.248794734,6.28924692,52.306072,0.0086,0.0086
ganymede,2457704.354507445,A.D. 2016-11-11 20:30:29.44 TDB,2457704.474001188,A.D. 2016-11-11 23:22:33.70 TDB,172.0710,2457704.414254317,6.22441736,51.766901,0.0086,0.0086
ganymede,2457711.520282254,A.D. 2016-11-19 00:29:12.39 TDB,2457711.639151041,A.D. 2016-11-19 03:20:22.65 TDB,171.1711,2457711.579716648,6.15032924,51.150729,0.0086,0.0086
ganymede,2457718.685923702,A.D. 2016-11-26 04:27:43.81 TDB,2457718.804143533,A.D. 2016-11-26 07:17:58.00 TDB,170.2366,2457718.745033617,6.06753792,50.462174,0.0086,0.0086
ganymede,2457725.851338940,A.D. 2016-12-03 08:25:55.68 TDB,2457725.968944584,A.D. 2016-12-03 11:15:16.81 TDB,169.3521,2457725.910141762,5.97674609,49.707082,0.0086,0.0086
ganymede,2457733.016509441,A.D. 2016-12-10 12:23:46.42 TDB,2457733.133459416,A.D. 2016-12-10 15:12:10.89 TDB,168.4080,2457733.074984428,5.87890193,48.893336,0.0086,0.0086
ganymede,2457740.181699897,A.D. 2016-12-17 16:21:38.87 TDB,2457740.298046913,A.D. 2016-12-17 19:09:11.25 TDB,167.5397,2457740.239873405,5.77504903,48.029618,0.0086,0.0086
ganymede,2457747.347286372,A.D. 2016-12-24 20:20:05.54 TDB,2457747.462986088,A.D. 2016-12-24 23:06:42.00 TDB,166.6076,2457747.405136230,5.66620944,47.124427,0.0086,0.0086
ganymede,2457754.513098281,A.D. 2017-01-01 00:18:51.69 TDB,2457754.628178553,A.D. 2017-01-01 03:04:34.63 TDB,165.7156,2457754.570638417,5.55359185,46.187815,0.0086,0.0086
ganymede,2457761.678914946,A.D. 2017-01-08 04:17:38.25 TDB,2457761.793360878,A.D. 2017-01-08 07:02:26.38 TDB,164.8021,2457761.736137912,5.43864554,45.231836,0.0086,0.0086
ganymede,2457768.844591149,A.D. 2017-01-15 08:16:12.68 TDB,2457768.958380227,A.D. 2017-01-15 11:00:04.05 TDB,163.8563,2457768.901485688,5.32288406,44.269077,0.0086,0.0086
ganymede,2457776.010052128,A.D. 2017-01-22 12:14:28.50 TDB,2457776.123222303,A.D. 2017-01-22 14:57:26.41 TDB,162.9651,2457776.066637216,5.20778563,43.311832,0.0086,0.0086
ganymede,2457783.175297166,A.D. 2017-01-29 16:12:25.68 TDB,2457783.287804241,A.D. 2017-01-29 18:54:26.29 TDB,162.0102,2457783.231550703,5.09501126,42.373917,0.0086,0.0086
ganymede,2457790.340580406,A.D. 2017-02-05 20:10:26.15 TDB,2457790.452478219,A.D. 2017-02-05 22:51:34.12 TDB,161.1329,2457790.396529313,4.98638070,41.470464,0.0086,0.0086
ganymede,2457797.506270587,A.D. 2017-02-13 00:09:01.78 TDB,2457797.617514079,A.D. 2017-02-13 02:49:13.22 TDB,160.1906,2457797.561892333,4.88367117,40.616255,0.0086,0.0086
ganymede,2457804.672186686,A.D. 2017-02-20 04:07:56.93 TDB,2457804.782805093,A.D. 2017-02-20 06:47:14.36 TDB,159.2905,2457804.727495889,4.78855571,39.825203,0.0086,0.0086
ganymede,2457811.838093568,A.D. 2017-02-27 08:06:51.28 TDB,2457811.948077389,A.D. 2017-02-27 10:45:13.89 TDB,158.3767,2457811.893085479,4.70278457,39.111867,0.0086,0.0086
ganymede,2457819.003846365,A.D. 2017-03-06 12:05:32.33 TDB,2457819.113174876,A.D. 2017-03-06 14:42:58.31 TDB,157.4331,2457819.058510620,4.62809037,38.490654,0.0086,0.0086
